Difference,Parameter,Reference,
-0.21999997,Gre,Hoyos et al. (2011),Hoya
-0.21999991,Gre,Hoyos et al. (2011),Hoya
-0.21299934,Gre,Hoyos et al. (2011),Hoya
-0.21000099,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.20999992,Gre,Hoyos et al. (2011),Hoya
-0.20999908,Gre,Hoyos et al. (2011),Hoya
-0.20999908,Gre,Hoyos et al. (2011),Hoya
-0.20000005,Gre,Hoyos et al. (2011),Hoya
-0.19999993,Gre,Hoyos et al. (2011),Hoya
-0.19999886,Gre,Hoyos et al. (2011),Hoya
-0.198800101,Gre,Hoyos et al. (2011),Hoya
-0.19000053,Gre,Hoyos et al. (2011),Hoya
-0.19000053,Gre,Hoyos et al. (2011),Hoya
-0.19000006,Gre,Hoyos et al. (2011),Hoya
-0.18999994,Gre,Hoyos et al. (2011),Hoya
-0.18000007,Gre,Hoyos et al. (2011),Hoya
-0.18000007,Gre,Hoyos et al. (2011),Hoya
-0.17999995,Gre,Hoyos et al. (2011),Hoya
-0.17999995,Gre,Hoyos et al. (2011),Hoya
-0.17000008,Gre,Hoyos et al. (2011),Hoya
-0.16999999,Gre,Hoyos et al. (2011),Hoya
-0.16999996,Gre,Hoyos et al. (2011),Hoya
-0.15999997,Gre,Hoyos et al. (2011),Hoya
-0.158799996,Gre,Hoyos et al. (2011),Hoya
-0.1500001,Gre,Hoyos et al. (2011),Hoya
-0.1500001,Gre,Hoyos et al. (2011),Hoya
-0.149999999,Gre,Hoyos et al. (2011),Hoya
-0.14999998,Gre,Hoyos et al. (2011),Hoya
-0.14999998,Gre,Hoyos et al. (2011),Hoya
-0.14999986,Gre,Hoyos et al. (2011),Hoya
-0.142400007,Gre,Hoyos et al. (2011),Hoya
-0.13999987,Gre,Hoyos et al. (2011),Hoya
-0.13400078,Gre,Hoyos et al. (2011),Hoya
-0.12999988,Gre,Hoyos et al. (2011),Hoya
-0.124799982,Gre,Hoyos et al. (2011),Hoya
-0.120000124,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.119999886,Gre,Hoyos et al. (2011),Hoya
-0.112999916,Gre,Hoyos et al. (2011),Hoya
-0.11199951,Gre,Hoyos et al. (2011),Hoya
-0.109999955,Gre,Hoyos et al. (2011),Hoya
-0.109999895,Gre,Hoyos et al. (2011),Hoya
-0.100000024,Gre,Weinzirl et al. (2014),Hoya
-0.09999943,Gre,Weinzirl et al. (2014),Hoya
-0.09700012,Gre,Weinzirl et al. (2014),Hoya
-0.09500027,Gre,Weinzirl et al. (2014),Hoya
-0.09000015,Gre,Weinzirl et al. (2014),Hoya
-0.089999974,Gre,Weinzirl et al. (2014),Hoya
-0.07999992,Gre,Weinzirl et al. (2014),Hoya
-0.07900047,Gre,Weinzirl et al. (2014),Hoya
-0.076999664,Gre,Weinzirl et al. (2014),Hoya
-0.069999695,Gre,Weinzirl et al. (2014),Hoya
-0.060000062,Gre,Weinzirl et al. (2014),Hoya
-0.059999943,Gre,Weinzirl et al. (2014),Hoya
-0.059999943,Gre,Weinzirl et al. (2014),Hoya
-0.050001144,Gre,Weinzirl et al. (2014),Hoya
-0.05000007,Gre,Weinzirl et al. (2014),Hoya
-0.050000012,Gre,Weinzirl et al. (2014),Hoya
-0.049999237,Gre,Weinzirl et al. (2014),Hoya
-0.049999237,Gre,Weinzirl et al. (2014),Hoya
-0.049600101,Gre,Weinzirl et al. (2014),Hoya
-0.04000002,Gre,Weinzirl et al. (2014),Hoya
-0.04000002,Gre,Weinzirl et al. (2014),Hoya
-0.03999996,Gre,Weinzirl et al. (2014),Hoya
-0.03999996,Gre,Weinzirl et al. (2014),Hoya
-0.03999901,Gre,Weinzirl et al. (2014),Hoya
-0.03000009,Gre,Weinzirl et al. (2014),Hoya
-0.029999971,Gre,Weinzirl et al. (2014),Hoya
-0.029999971,Gre,Weinzirl et al. (2014),Hoya
-0.01999998,Gre,Weinzirl et al. (2014),Hoya
-0.01999998,Gre,Weinzirl et al. (2014),Hoya
-0.016000748,Gre,Weinzirl et al. (2014),Hoya
-0.013999939,Gre,Weinzirl et al. (2014),Hoya
-0.01000011,Gre,Weinzirl et al. (2014),Hoya
