Difference,Parameter,Reference
-0.874999046,Bre,Head et al. (2014)
-0.86000013,Bre,Head et al. (2014)
-0.849539914,Bre,Head et al. (2014)
-0.81799996,Bre,Head et al. (2014)
-0.816999435,Bre,Head et al. (2014)
-0.774999619,Bre,Head et al. (2014)
-0.7739999,Bre,Head et al. (2014)
-0.747000694,Bre,Head et al. (2014)
-0.739999771,Bre,Head et al. (2014)
-0.7099999,Bre,Head et al. (2014)
-0.694998741,Bre,Head et al. (2014)
-0.6930001,Bre,Head et al. (2014)
-0.689540038,Bre,Head et al. (2014)
-0.68900013,Bre,Head et al. (2014)
-0.6199999,Bre,Head et al. (2014)
-0.601700094,Bre,Head et al. (2014)
-0.586999972,Bre,Head et al. (2014)
-0.570999146,Bre,Weinzirl et al. (2014)
-0.561080014,Bre,Weinzirl et al. (2014)
-0.538840016,Bre,Weinzirl et al. (2014)
-0.53000003,Bre,Weinzirl et al. (2014)
-0.48900008,Bre,Weinzirl et al. (2014)
-0.485599937,Bre,Weinzirl et al. (2014)
-0.48400116,Bre,Weinzirl et al. (2014)
-0.445800017,Bre,Weinzirl et al. (2014)
-0.437999725,Bre,Weinzirl et al. (2014)
-0.406000137,Bre,Weinzirl et al. (2014)
-0.399999619,Bre,Weinzirl et al. (2014)
-0.39,Bre,Weinzirl et al. (2014)
-0.388999939,Bre,Weinzirl et al. (2014)
-0.3699999,Bre,Weinzirl et al. (2014)
-0.362000465,Bre,Weinzirl et al. (2014)
-0.35200119,Bre,Weinzirl et al. (2014)
-0.341000557,Bre,Weinzirl et al. (2014)
-0.33799994,Bre,Weinzirl et al. (2014)
-0.337999344,Bre,Weinzirl et al. (2014)
-0.333000183,Bre,Weinzirl et al. (2014)
-0.33000004,Bre,Weinzirl et al. (2014)
-0.32999998,Bre,Weinzirl et al. (2014)
-0.329,Bre,Weinzirl et al. (2014)
-0.328001022,Bre,Weinzirl et al. (2014)
-0.328001022,Bre,Weinzirl et al. (2014)
-0.313,Bre,Weinzirl et al. (2014)
-0.294259984,Bre,Weinzirl et al. (2014)
-0.293999672,Bre,Weinzirl et al. (2014)
-0.286000252,Bre,Weinzirl et al. (2014)
-0.27999997,Bre,Weinzirl et al. (2014)
-0.23300004,Bre,Weinzirl et al. (2014)
-0.222000122,Bre,Weinzirl et al. (2014)
